[2025-12-17 21:19:55] IP_ORIGEN: 127.0.0.1 | INTENTO: 8.8.8.8 ; mkdir exploits
[2025-12-17 21:20:22] IP_ORIGEN: 127.0.0.1 | INTENTO: 8.8.8.8 
[2025-12-17 21:20:22] IP_ORIGEN: 127.0.0.1 | INTENTO: 8.8.8.8 
[2025-12-17 21:20:22] IP_ORIGEN: 127.0.0.1 | INTENTO: 8.8.8.8 
[2025-12-17 21:20:22] IP_ORIGEN: 127.0.0.1 | INTENTO: 8.8.8.8 
[2025-12-17 21:20:22] IP_ORIGEN: 127.0.0.1 | INTENTO: 8.8.8.8 
[2025-12-17 21:20:22] IP_ORIGEN: 127.0.0.1 | INTENTO: 8.8.8.8 
[2025-12-17 21:20:22] IP_ORIGEN: 127.0.0.1 | INTENTO: 8.8.8.8 ; mkdir exploits
[2025-12-17 21:20:44] IP_ORIGEN: 127.0.0.1 | INTENTO: 8.8.8.8 ; ls 
[2025-12-17 21:29:36] IP_ORIGEN: 127.0.0.1 | INTENTO: 8.8.8.8 | ls
[2025-12-17 21:29:43] IP_ORIGEN: 127.0.0.1 | INTENTO: 8.8.8.8 
[2025-12-17 21:30:55] IP_ORIGEN: 127.0.0.1 | INTENTO: 8.8.8.8 ; ls - la
[2025-12-17 21:32:46] IP_ORIGEN: 127.0.0.1 | INTENTO: 8.8.8.8 ; lo
[2025-12-17 21:33:39] IP_ORIGEN: 127.0.0.1 | INTENTO: 33444
[2025-12-17 21:34:10] IP_ORIGEN: 127.0.0.1 | INTENTO: 8.8.8.8; whoami
